DatasetID,Ref_L,Ref_a,Ref_b,Sam_L,Sam_a,Sam_b,dV,dV_scaled,dE,Ratio,F,Is_Outlier
BFD-P,60.1229087861,-25.401037834,38.3685116661,59.9519263843,-25.584419898,41.4099649347,1.24095,1.31389933275,1.19031349854,0.905939647634,0.944478750441,False
BFD-P,60.1229087861,-25.401037834,38.3685116661,59.9158318433,-24.7280524418,41.1747722904,1.461,1.54688498743,1.33035618894,0.860022690601,0.944478750441,False
BFD-P,60.1229087861,-25.401037834,38.3685116661,60.3913274697,-27.3324265922,37.2370706065,1.57939,1.67223455188,1.25178826959,0.748572183364,0.944478750441,False
BFD-P,60.1229087861,-25.401037834,38.3685116661,59.969960797,-24.1051283697,39.1228842431,0.993036,1.05141169088,0.850672954801,0.809076941203,0.944478750441,False
BFD-P,60.1229087861,-25.401037834,38.3685116661,60.113928851,-23.7656686632,37.9808228269,1.10306,1.16790345943,0.767878701315,0.657484739097,0.944478750441,False
BFD-P,60.1229087861,-25.401037834,38.3685116661,60.167776714,-28.1256801936,40.4599863649,1.58078,1.67370626312,1.19406702942,0.713426875269,0.944478750441,False
BFD-P,60.1229087861,-25.401037834,38.3685116661,59.9609446611,-25.142314857,41.9691728211,1.70334,1.80347096132,1.51000210018,0.83727552734,0.944478750441,False
BFD-P,60.1229087861,-25.401037834,38.3685116661,59.9969963725,-23.668116885,38.590181035,1.34401,1.42301772207,0.929054454801,0.652876236458,0.944478750441,False
BFD-P,60.1229087861,-25.401037834,38.3685116661,59.969960797,-22.8468603788,36.8082250651,1.4415,1.52623867856,1.17136128171,0.767482372294,0.944478750441,False
BFD-P,60.1229087861,-25.401037834,38.3685116661,60.2394556427,-23.733789286,36.9419630211,1.01393,1.07353394613,0.786167437167,0.732317259271,0.944478750441,False
BFD-P,60.5159464956,-7.94920636038,17.1205888664,60.5070585937,-8.6984179249,15.9950853803,1.48248,1.56962769073,1.09860469795,0.69991419267,0.944478750441,False
BFD-P,60.5159464956,-7.94920636038,17.1205888664,60.5248323331,-6.81940503389,17.6290287891,1.28032,1.35558370096,1.18489877255,0.874087503202,0.944478750441,False
BFD-P,60.5159464956,-7.94920636038,17.1205888664,60.4002423172,-6.83028063367,15.697498318,1.02426,1.08447119591,1.15573822246,1.06571592387,0.944478750441,False
BFD-P,60.5159464956,-7.94920636038,17.1205888664,60.2394556427,-8.62141685549,18.6947989742,1.36119,1.44120764958,0.959495857529,0.665758232555,0.944478750441,False
BFD-P,60.5159464956,-7.94920636038,17.1205888664,60.5070585937,-6.57366414387,16.3097285782,1.18598,1.25569791744,1.25392143965,0.998585266593,0.944478750441,False
BFD-P,60.5159464956,-7.94920636038,17.1205888664,60.6135774345,-6.15074367144,16.4140303288,2.00809,2.12613571143,1.65425100261,0.778055226541,0.944478750441,False
BFD-P,60.5159464956,-7.94920636038,17.1205888664,60.3377946368,-7.54276139055,18.3074202989,0.916442,0.970315107219,0.898271537865,0.925752398558,0.944478750441,False
BFD-P,61.9293501844,-10.5582133167,40.6071306528,62.0149304752,-12.3358576783,39.3050911233,1.45233,1.53770532087,1.40549014599,0.914017872553,0.944478750441,False
BFD-P,61.9293501844,-10.5582133167,40.6071306528,61.9207818116,-12.0193721166,38.2588974748,1.5255,1.61517662445,1.52024183808,0.941223278661,0.944478750441,False
BFD-P,61.9293501844,-10.5582133167,40.6071306528,61.9379166735,-9.32834673999,38.1883251421,1.33592,1.41445215086,1.02214661139,0.722644884642,0.944478750441,False
BFD-P,61.9293501844,-10.5582133167,40.6071306528,61.7231869191,-8.90378761535,40.4191616832,1.46674,1.55296241373,1.09432737644,0.704670870823,0.944478750441,False
BFD-P,61.9293501844,-10.5582133167,40.6071306528,61.8349942471,-9.23116246173,43.5666074085,1.59756,1.6914726766,1.58497176377,0.937036575107,0.944478750441,False
BFD-P,61.9293501844,-10.5582133167,40.6071306528,62.0149304752,-12.1239215433,40.4037990604,1.44457,1.52948914872,1.04579136142,0.683752063421,0.944478750441,False
BFD-P,61.9293501844,-10.5582133167,40.6071306528,62.0747251459,-9.29302802032,37.5795200038,1.38027,1.46140926872,1.20632394179,0.825452505069,0.944478750441,False
BFD-P,61.9293501844,-10.5582133167,40.6071306528,62.0832597683,-10.2645120487,36.9655179013,1.53991,1.63043371731,1.36229610874,0.835542159293,0.944478750441,False
BFD-P,61.9293501844,-10.5582133167,40.6071306528,61.8950653801,-9.01638959924,37.9913015436,1.36475,1.44497692443,1.18995736804,0.823513059571,0.944478750441,False
BFD-P,61.9293501844,-10.5582133167,40.6071306528,61.9978294377,-8.71142527627,40.3717895454,1.75721,1.86050771304,1.20673863862,0.648607167904,0.944478750441,False
BFD-P,61.9293501844,-10.5582133167,40.6071306528,61.8864894618,-12.2598051857,41.7494127267,1.46674,1.55296241373,1.03364133236,0.665593270788,0.944478750441,False
BFD-P,61.9293501844,-10.5582133167,40.6071306528,61.6887198694,-9.58828863678,44.0069852523,1.80044,1.90627899162,1.57004685663,0.823618611717,0.944478750441,False
BFD-P,61.9293501844,-10.5582133167,40.6071306528,62.0320240188,-8.97933484375,37.3830818367,1.78603,1.89102189876,1.35501345059,0.716550903758,0.944478750441,False
BFD-P,64.1366109188,-22.7194200966,3.76772485373,64.1528115885,-23.8945338898,5.96467974022,1.90291,2.01477269776,1.5246729127,0.756746860029,0.944478750441,False
BFD-P,64.1366109188,-22.7194200966,3.76772485373,63.6721112817,-22.6567390696,6.4685115998,1.98058,2.09700853415,1.87423511661,0.89376608921,0.944478750441,False
BFD-P,64.1366109188,-22.7194200966,3.76772485373,63.7703507293,-24.1744287924,5.60035009366,1.70874,1.80918840069,1.39778247951,0.772601946252,0.944478750441,False
BFD-P,64.1366109188,-22.7194200966,3.76772485373,64.0067690939,-21.4002016811,4.91162399168,2.13592,2.26148020694,1.15138734096,0.509129966042,0.944478750441,False
BFD-P,64.1366109188,-22.7194200966,3.76772485373,64.120403696,-23.4831144694,5.89061798698,1.87379,1.98394087651,1.43655975037,0.724094032929,0.944478750441,False
BFD-P,64.1366109188,-22.7194200966,3.76772485373,64.4352694611,-24.967610887,5.24577743258,1.80583,1.91198584315,1.45526586244,0.761127948542,0.944478750441,False
BFD-P,64.1366109188,-22.7194200966,3.76772485373,64.3708825859,-22.127964783,5.73159882802,2.19417,2.32315443728,1.43595409059,0.618105308689,0.944478750441,False
BFD-P,64.1366109188,-22.7194200966,3.76772485373,63.8928107784,-21.1490296025,4.63138305643,1.38835,1.46996425208,1.1421661621,0.777002679136,0.944478750441,False
BFD-P,64.1366109188,-22.7194200966,3.76772485373,64.1447120724,-20.8170516046,4.04644462713,1.35922,1.43912184299,1.10998874301,0.771295876309,0.944478750441,False
